Date,actual_lmp,AveragePrice_OtherStates,day_ahead_lmp,actual_load,forecasted_load,temperature_celsius,wind_speed_kmh,coco_Clear,coco_Fair,coco_Cloudy,coco_Overcast,coco_Fog,coco_Light_Rain,coco_Rain,coco_Heavy_Rain,coco_Freezing_Rain,coco_Sleet,coco_Heavy_Sleet,coco_Light_Snow,coco_Snow,coco_Heavy_Snow,coco_Heavy_Rain_Shower,coco_Thunderstorm
2022-01-01 00:00:00,22.46,25.72571428571429,29.54,67114.0,68692,5.6,14.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 02:00:00,22.54,23.585714285714285,26.32,63696.0,62585,5.0,14.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 03:00:00,21.82,22.627142857142854,23.81,62627.0,61348,4.4,24.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 04:00:00,21.43,22.382857142857144,22.58,62217.0,60685,4.4,18.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 05:00:00,20.69,21.81,22.6,61962.0,60477,3.9,20.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 06:00:00,21.93,22.74142857142857,24.37,62585.0,60862,3.9,24.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 07:00:00,21.97,22.79,23.99,63463.0,61822,2.8,33.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 08:00:00,22.43,23.264285714285712,24.13,64999.0,63115,1.7,24.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 09:00:00,23.08,24.514285714285712,27.04,66576.0,65198,2.2,16.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 10:00:00,23.17,26.49428571428572,28.95,69122.0,67692,1.7,20.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 11:00:00,25.83,31.628571428571423,29.72,71463.0,69948,1.1,24.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 12:00:00,26.11,31.54,30.32,73758.0,71210,1.1,24.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 13:00:00,24.74,30.31571428571428,31.6,74599.0,71787,1.7,40.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 14:00:00,24.95,30.10428571428572,31.86,74782.0,71796,0.6,37.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 15:00:00,24.71,29.3,32.0,75055.0,71458,-0.0,25.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-01 16:00:00,25.0,28.197142857142858,31.38,74818.0,71196,1.1,37.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-01 17:00:00,27.67,29.44142857142857,33.48,75917.0,71741,1.1,37.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-01 18:00:00,29.29,31.24,39.71,77670.0,73820,1.1,42.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-01 19:00:00,27.91,30.572857142857146,35.92,78600.0,76096,0.6,33.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-01 20:00:00,26.67,28.384285714285717,33.02,77479.0,75799,-0.0,31.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-01 21:00:00,27.82,29.502857142857145,32.76,76247.0,74615,-0.6,40.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-01 22:00:00,26.89,28.41,31.73,75107.0,73315,-0.6,33.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-02 00:00:00,25.0,26.27857142857143,27.4,70789.0,69123,-3.3,29.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-02 01:00:00,24.13,25.195714285714285,27.32,68762.0,68986,-3.9,31.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-02 02:00:00,23.8,24.70142857142857,25.94,67506.0,67373,-3.9,27.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-02 03:00:00,23.92,24.724285714285717,25.7,66958.0,66405,-1.1,35.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-02 04:00:00,23.49,24.027142857142856,26.0,66746.0,65854,-1.1,29.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-02 05:00:00,23.48,24.05857142857143,25.56,67146.0,65766,-1.1,31.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-02 06:00:00,24.13,24.467142857142857,27.57,67766.0,66202,-4.4,25.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-02 07:00:00,25.97,25.24714285714285,27.31,69886.0,67199,-5.6,22.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-02 08:00:00,26.32,27.00714285714286,27.89,72143.0,68845,-6.1,33.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-02 09:00:00,29.37,29.47714285714286,28.6,74511.0,71362,-6.1,25.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-02 10:00:00,32.84,30.26,29.44,76729.0,74226,-6.1,27.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-02 11:00:00,31.31,30.24857142857143,30.0,78347.0,76402,-6.1,25.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-02 12:00:00,33.52,31.13,30.3,79145.0,77315,-6.7,24.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-02 13:00:00,33.15,31.04142857142857,30.21,79208.0,77722,-7.2,18.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-02 14:00:00,31.16,30.427142857142854,30.91,79003.0,77917,-6.7,18.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-02 15:00:00,31.32,30.434285714285718,30.91,78926.0,78018,-6.7,14.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-02 16:00:00,52.48,40.4,31.2,79095.0,78227,-6.1,16.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-02 17:00:00,41.11,36.82428571428572,35.82,81070.0,79133,-5.6,13.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-02 18:00:00,37.07,36.19714285714286,41.29,85158.0,81955,-4.4,14.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-02 19:00:00,31.39,31.47571428571429,42.56,87722.0,85831,-3.3,16.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
